Hash of previous block,pi,Sub Users,Step
38482669ab1f0c52f1b6ff9c1bd006c0fd6fb41d8d1c13bc9e0677a68337544b13923fbb6490a133301737fbdffc376862d074f15f8d498e1a3838c43fd4848f , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
d55c066926dc713fe86d19100d0a7695607cc17e0c41861aeb4f403f93e5b583513d9102ec1ffd4c27aaa7f775b3852533a73e0f22fe7714e410548cce491254 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
a5e292d7bd41fbe3e6f96dfc5e611bf578c7102d6e76eb2e879fa762edd6a59dce3b64e405bed1144462882f9e5c1864fe8ff1967dbf0622ac243b68b863b98d , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
9dc2cd355c46b30ec3aa386007165928fdeddea2001c134c591623dd88deae65eda9fe79b14526a0f4ec5f23341f41a22f9d0363f88e1698d6d0d48aca98e7c6 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
8309ca41a665370fdd901bc2ae626973e6182635006f6a6629d78c52ca0127e59af0e9f335e56319a23352f44afb4d4a8751d08a7d4883595527d5577b8dd5f4 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
44777e2536ba72b181ae8e7583696aa3005dbbbda8ae3baea3007c25ff8e0bde96fa95923990e33264e8b33e9efdb202c678a509a623cb4052bf7f3e5aacb747 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
3a7ef11ddd38fa43ce956f23556eac7e3875b7fd686d1f0dbe00d454ff56ff735a667a46a19522e3597538512757d5ad2bf202cd900d3d5b695358948228a43b , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
29246425352302f99b932f68f1b63ae66091c02379027fb540ab2fee1adee988357a1ab421c5c77843ef975125fb299ff2f3682e87daa1be24199860ef2030c5 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
2e964eb82159317671b3b28bb217da7f0b859d19084deefb93d5128b7939c2c20595cee1f0592e3e67360958740602e7024fa8fb1a0fc5dddfb34edb0da5dd70 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
e176e0c8093b789a72fcfdee9c14fae98ae2c2e1d96fc602e3b6841477b9dfc1cafe10446e1b7415b83408c5e4bf7a8123d9d5719e21e7767eb566dff2164a32 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
ce1e9c2d1a780afb941367e379ea4925ae1f56af8259560df0d24e49098d8fac1a37435ceb7fdf2575231927e7dba8b0b2f3d37502f4f20fc5e05c63f892602d , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
8dac3e316c3980b94ceaf29c8655cc70328710305977edbfe0ab03272fbe5f6c652dd6d60fcb08fab4b28147884b030880db3efd6f9bc175b76cbcfcd49c3c03 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
7fea0dd11c8aa7b51d5fd5b4869ee2c8431e82930c9fc532ef1394bd3efb495f5d6343bebf00217a70fd2be0ada1c0cb1f731168382acd5ead1c5a466f5ee458 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,1,1
45ebb29b617a2743dfa472f592038c27bd894cfed049d2341386a7a04744cae166cc32df30d04c3f2d23e439dcb2b7c3204451bb7d2854afbe66ef0228e0419e , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
1ba636ed3ee8483199e900e5ac1976ac37c8d0b2ffd33ae32b671c6947517f9880e8877b28616acc85d5aa358c6e99c33679c88bc3de9a450ed74c4a6f82798c , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
0dd830e58b023efe69f6727c189c7ab33d1940593daf64414f8f2a63ce39de0bd035f3fab5d0cf35e6149966608076711899de68162152f7a8b32d718b76469e , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
a26f33b5a2856c06e05279c576dd4470244e2db65fa192960e97ba18c81eaa3b91f7462056d7ae165f593056012712ba24897c6af785f4c2e145bc84d5fbfa4f , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
f24db3a9801b94a91621e394cb40c4519074887ab0cc8f6c5195a3c8f390838ce7482d875903fefec46961ff2837b3c9d51778328df7c0ca6ff8666f3f1f041f , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
99ed22c1ab1f37b436a31098ac189eac86adfe415eb0bb0f77bc713a2a9f35adced778deae08c8f9fc7febf78046c0707f843acbb2ec9c45186cbe65552c0ba5 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
b7f7b09b24bc5643ca55bb5b4c0d1f4754eff99817113001e6fffa566e01485d9528df4804d56a206c7688a1767b754b210d2a9774afdd5e8ee8b6b34440b877 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
005cfae624641f2552dba8269289a345d2c78cd2150027fd6cce14e63a6848462d5f35dc96661ccb8991a6c168c5c8050334b70cf1bfaa7dbd43ac1675f9e371 , b'12012332380432142482408529300371577527123910360072034575057308989599881386213' ,0,1
